Title (w/ year),Country,Language,Release_Date
The Old Man and the Sea (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: 11 October 1958 (USA)
    
See more »
    
"
Ashes and Diamonds (1958) ,"
Country:
Poland
","
Language:
Polish
","
Release Date: 29 May 1961 (USA)
    
See more »
    
"
Man of the West (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: 1 November 1958 (Japan)
    
See more »
    
"
The Spider (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: September 1958 (USA)
    
See more »
    
"
The Brain Eaters (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: September 1958 (USA)
    
See more »
    
"
The Barbarian and the Geisha (1958) ,"
Country:
USA
","
Language:
English
|
Japanese
","
Release Date: 30 September 1958 (USA)
    
See more »
    
"
Damn Yankees (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: 6 March 1959 (Finland)
    
See more »
    
"
Love Is My Profession (1958) ,"
Country:
France
|
Italy
","
Language:
French
","
Release Date: 17 September 1958 (France)
    
See more »
    
"
Mia zoi tin ehoume (1958) ,"
Country:
Greece
","
Language:
Greek
","
Release Date: 14 September 1958 (Greece)
    
See more »
    
"
Madhumati (1958) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 12 September 1958 (India)
    
See more »
    
"
The Blob (1958) ,"
Country:
USA
","
Language:
English
|
Italian
","
Release Date: 10 September 1958 (USA)
    
See more »
    
"
Queen of Outer Space (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: 7 September 1958 (USA)
    
See more »
    
"
Higanbana (1958) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: June 1977 (USA)
    
See more »
    
"
The Lovers (1958) ,"
Country:
France
","
Language:
French
","
Release Date: 26 October 1959 (USA)
    
See more »
    
"
The Badlanders (1958) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: 14 December 1958 (UK)
    
See more »
    
"
"Ivan the Terrible, Part II (1958) ","
Country:
Soviet Union
","
Language:
Russian
","
Release Date: 24 November 1959 (USA)
    
See more »
    
"
Night of the Blood Beast (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: August 1958 (USA)
    
See more »
    
"
Carry On Sergeant (1958) ,"
Country:
UK
","
Language:
English
","
Release Date: 20 September 1958 (UK)
    
See more »
    
"
The Hideous Sun Demon (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: 12 April 1962 (Mexico)
    
See more »
    
"
The Hunters (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: September 1958 (USA)
    
See more »
    
"
Terror in a Texas Town (1958) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: 25 August 1958 (USA)
    
See more »
    
"
Cat on a Hot Tin Roof (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: 29 August 1958 (USA)
    
See more »
    
"
The Reluctant Debutante (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: 25 December 1958 (Brazil)
    
See more »
    
"
It! The Terror from Beyond Space (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: 9 November 1958 (UK)
    
See more »
    
"
God's Little Acre (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: 23 September 1958 (West Germany)
    
See more »
    
"
The Big Country (1958) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: October 1958 (USA)
    
See more »
    
"
The Naked and the Dead (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: 28 October 1958 (Japan)
    
See more »
    
"
Buchanan Rides Alone (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: 6 August 1958 (USA)
    
See more »
    
"
Teenage Cave Man (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: July 1958 (USA)
    
See more »
    
"
I Bury the Living (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: July 1958 (USA)
    
See more »
    
"
The Defiant Ones (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: 27 September 1958 (USA)
    
See more »
    
"
Big Deal on Madonna Street (1958) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 2 October 1958 (Italy)
    
See more »
    
"
Rock-a-Bye Baby (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: 23 July 1958 (USA)
    
See more »
    
"
La momia azteca contra el robot humano (1958) ,"
Country:
Mexico
","
Language:
Spanish
","
Release Date: 1959 (USA)
    
See more »
    
"
The Fly (1958) ,"
Country:
USA
","
Language:
English
|
French
","
Release Date: 16 July 1958 (USA)
    
See more »
    
"
H-8... (1958) ,"
Country:
Yugoslavia
","
Language:
Croatian
|
German
","
Release Date: 15 July 1958 (Yugoslavia)
    
See more »
    
"
Gunman's Walk (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: July 1958 (USA)
    
See more »
    
"
Mädchen in Uniform (1958) ,"
Country:
West Germany
|
France
","
Language:
German
","
Release Date: 5 November 1958 (France)
    
See more »
    
"
The Snorkel (1958) ,"
Country:
UK
","
Language:
English
|
Italian
","
Release Date: 7 July 1958 (UK)
    
See more »
    
"
It Happened in Broad Daylight (1958) ,"
Country:
Switzerland
|
West Germany
|
Spain
","
Language:
German
|
Italian
","
Release Date: 9 July 1958 (West Germany)
    
See more »
    
"
King Creole (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: 2 July 1958 (USA)
    
See more »
    
"
A Night to Remember (1958) ,"
Country:
UK
","
Language:
English
|
Russian
|
Polish
|
German
|
Italian
","
Release Date: 16 December 1958 (USA)
    
See more »
    
"
Cairo Station (1958) ,"
Country:
Egypt
","
Language:
Arabic
","
Release Date: 16 January 1962 (West Germany)
    
See more »
    
"
War of the Colossal Beast (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: June 1958 (USA)
    
See more »
    
"
The Space Children (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: June 1958 (USA)
    
See more »
    
"
Invention for Destruction (1958) ,"
Country:
Czechoslovakia
","
Language:
Czech
","
Release Date: August 1958 (Czechoslovakia)
    
See more »
    
"
The Thing That Couldn't Die (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: 1959 (Turkey)
    
See more »
    
"
Indiscreet (1958) ,"
Country:
UK
","
Language:
English
","
Release Date: 26 July 1958 (USA)
    
See more »
    
"
The Bravados (1958) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: 1 August 1958 (West Germany)
    
See more »
    
"
Ice Cold in Alex (1958) ,"
Country:
UK
","
Language:
English
|
German
","
Release Date: 27 June 1958 (UK)
    
See more »
    
"
A Time to Love and a Time to Die (1958) ,"
Country:
USA
|
West Germany
","
Language:
English
|
German
|
Russian
","
Release Date: 4 July 1958 (USA)
    
See more »
    
"
The H-Man (1958) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 28 May 1959 (USA)
    
See more »
    
"
Kings Go Forth (1958) ,"
Country:
USA
","
Language:
English
|
French
|
German
","
Release Date: 28 June 1958 (USA)
    
See more »
    
"
The Vikings (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: 28 June 1958 (USA)
    
See more »
    
"
The Law and Jake Wade (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: 22 November 1958 (Japan)
    
See more »
    
"
Le Beau Serge (1958) ,"
Country:
France
","
Language:
French
","
Release Date: January 1959 (USA)
    
See more »
    
"
The Ballad of Narayama (1958) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 19 June 1961 (USA)
    
See more »
    
"
The Revenge of Frankenstein (1958) ,"
Country:
UK
","
Language:
English
|
Latin
","
Release Date: 1 June 1958 (USA)
    
See more »
    
"
Machine-Gun Kelly (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: May 1958 (USA)
    
See more »
    
"
No Time for Sergeants (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: 5 July 1958 (USA)
    
See more »
    
"
Fiend Without a Face (1958) ,"
Country:
UK
","
Language:
English
","
Release Date: 29 May 1958 (USA)
    
See more »
    
"
The Proud Rebel (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: 1 July 1958 (USA)
    
See more »
    
"
The Key (1958) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 6 June 1958 (UK)
    
See more »
    
"
Attack of the 50 Foot Woman (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: 18 May 1958 (USA)
    
See more »
    
"
Gigi (1958) ,"
Country:
USA
","
Language:
English
|
French
","
Release Date: 25 June 1958 (USA)
    
See more »
    
"
The Haunted Strangler (1958) ,"
Country:
UK
","
Language:
English
","
Release Date: 11 May 1958 (USA)
    
See more »
    
"
Thunder Road (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: 10 May 1958 (USA)
    
See more »
    
"
Vertigo (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: 22 May 1958 (UK)
    
See more »
    
"
Mon Oncle (1958) ,"
Country:
France
|
Italy
","
Language:
French
","
Release Date: 3 November 1958 (USA)
    
See more »
    
"
Horror of Dracula (1958) ,"
Country:
UK
","
Language:
English
","
Release Date: 16 June 1958 (UK)
    
See more »
    
"
The Sheepman (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: 7 May 1958 (USA)
    
See more »
    
"
The Lineup (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: 11 June 1958 (USA)
    
See more »
    
"
The Return of Dracula (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: April 1958 (USA)
    
See more »
    
"
Attack of the Puppet People (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: April 1958 (USA)
    
See more »
    
"
The Left Handed Gun (1958) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: 17 May 1958 (USA)
    
See more »
    
"
"Ni vu, ni connu (1958) ","
Country:
France
","
Language:
French
","
Release Date: 23 April 1958 (France)
    
See more »
    
"
Montparnasse 19 (1958) ,"
Country:
France
|
Italy
","
Language:
French
","
Release Date: 4 April 1958 (France)
    
See more »
    
"
The Young Lions (1958) ,"
Country:
USA
","
Language:
English
|
French
|
German
","
Release Date: 2 April 1958 (USA)
    
See more »
    
"
Teacher's Pet (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: 1 April 1958 (USA)
    
See more »
    
"
Brink of Life (1958) ,"
Country:
Sweden
","
Language:
Swedish
","
Release Date: 31 March 1958 (Sweden)
    
See more »
    
"
Touch of Evil (1958) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: 9 May 1958 (Canada)
    
See more »
    
"
Run Silent Run Deep (1958) ,"
Country:
USA
","
Language:
English
|
Japanese
","
Release Date: 27 March 1958 (USA)
    
See more »
    
"
Gideon of Scotland Yard (1958) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 22 June 1958 (USA)
    
See more »
    
"
Dunkirk (1958) ,"
Country:
UK
","
Language:
German
|
French
|
English
","
Release Date: 10 September 1958 (USA)
    
See more »
    
"
South Pacific (1958) ,"
Country:
USA
","
Language:
English
|
French
","
Release Date: 14 April 1958 (Brazil)
    
See more »
    
"
"The Long, Hot Summer (1958) ","
Country:
USA
","
Language:
English
","
Release Date: 18 May 1958 (West Germany)
    
See more »
    
"
Desire Under the Elms (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: 6 May 1958 (Japan)
    
See more »
    
"
Les misérables (1958) ,"
Country:
France
|
Italy
|
East Germany
","
Language:
French
","
Release Date: 12 March 1958 (France)
    
See more »
    
"
Saddle the Wind (1958) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: 5 March 1958 (USA)
    
See more »
    
"
The Brothers Karamazov (1958) ,"
Country:
USA
","
Language:
English
|
Polish
|
Russian
","
Release Date: 26 February 1958 (Japan)
    
See more »
    
"
Le fatiche di Ercole (1958) ,"
Country:
Italy
|
Spain
","
Language:
Italian
","
Release Date: 22 July 1959 (USA)
    
See more »
    
"
Carve Her Name with Pride (1958) ,"
Country:
UK
","
Language:
English
|
French
|
German
","
Release Date: 20 June 1958 (Ireland)
    
See more »
    
"
Darby's Rangers (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: 8 April 1958 (Japan)
    
See more »
    
"
A Tale of Two Cities (1958) ,"
Country:
UK
","
Language:
English
","
Release Date: 4 August 1958 (USA)
    
See more »
    
"
The Quiet American (1958) ,"
Country:
USA
","
Language:
English
|
French
|
Vietnamese
","
Release Date: 8 February 1958 (USA)
    
See more »
    
"
Terror from the Year 5000 (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: January 1958 (USA)
    
See more »
    
"
The Screaming Skull (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: January 1958 (USA)
    
See more »
    
"
Elevator to the Gallows (1958) ,"
Country:
France
","
Language:
French
|
German
","
Release Date: 29 January 1958 (France)
    
See more »
    
"
Inspector Maigret (1958) ,"
Country:
France
|
Italy
","
Language:
French
","
Release Date: 29 January 1958 (France)
    
See more »
    
"
Chase a Crooked Shadow (1958) ,"
Country:
UK
","
Language:
English
|
Spanish
","
Release Date: 19 April 1958 (USA)
    
See more »
    
"
Bonjour Tristesse (1958) ,"
Country:
USA
|
UK
","
Language:
English
","
Release Date: February 1958 (USA)
    
See more »
    
"
Cowboy (1958) ,"
Country:
USA
","
Language:
English
","
Release Date: 23 March 1958 (Japan)
    
See more »
    
"
Chalti Ka Naam Gaadi (1958) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 1 January 1958 (India)
    
See more »
    
"
The Saga of the Viking Women and Their Voyage to the Waters of the Great Sea Serpent (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: December 1957 (USA)
    
See more »
    
"
Do Ankhen Barah Haath (1957) ,"
Country:
India
","
Language:
Hindi
|
English
","
Release Date: 1957 (India)
    
See more »
    
"
The Mysterians (1957) ,"
Country:
Japan
","
Language:
Japanese
|
English
","
Release Date: 15 May 1959 (USA)
    
See more »
    
"
Wild Strawberries (1957) ,"
Country:
Sweden
","
Language:
Swedish
|
Latin
","
Release Date: 22 June 1959 (USA)
    
See more »
    
"
Old Yeller (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 10 July 1959 (USA)
    
See more »
    
"
The Enemy Below (1957) ,"
Country:
USA
","
Language:
English
|
German
","
Release Date: 17 January 1958 (West Germany)
    
See more »
    
"
Blue Murder at St. Trinian's (1957) ,"
Country:
UK
","
Language:
English
","
Release Date: December 1957 (UK)
    
See more »
    
"
Sissi - Schicksalsjahre einer Kaiserin (1957) ,"
Country:
Austria
","
Language:
German
|
Greek
|
Hungarian
|
Italian
|
Portuguese
","
Release Date: 1957 (Austria)
    
See more »
    
"
Your Past Is Showing (1957) ,"
Country:
UK
","
Language:
English
","
Release Date: 18 December 1957 (France)
    
See more »
    
"
Witness for the Prosecution (1957) ,"
Country:
USA
","
Language:
English
|
German
","
Release Date: 6 February 1958 (USA)
    
See more »
    
"
Legend of the Lost (1957) ,"
Country:
Italy
|
USA
","
Language:
English
","
Release Date: 17 December 1957 (USA)
    
See more »
    
"
I theia apo to Chicago (1957) ,"
Country:
Greece
","
Language:
Greek
","
Release Date: 16 December 1957 (Greece)
    
See more »
    
"
A Farewell to Arms (1957) ,"
Country:
USA
","
Language:
English
|
Latin
","
Release Date: 14 December 1957 (USA)
    
See more »
    
"
Peyton Place (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 3 March 1958 (Sweden)
    
See more »
    
"
Kiss Them for Me (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 10 December 1957 (USA)
    
See more »
    
"
The Monolith Monsters (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 18 December 1957 (USA)
    
See more »
    
"
Sayonara (1957) ,"
Country:
USA
","
Language:
English
|
Japanese
","
Release Date: 20 December 1957 (Japan)
    
See more »
    
"
The One That Got Away (1957) ,"
Country:
UK
","
Language:
English
","
Release Date: 22 November 1957 (UK)
    
See more »
    
"
The Tarnished Angels (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 31 December 1957 (USA)
    
See more »
    
"
Zero Hour! (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 1958 (West Germany)
    
See more »
    
"
Decision at Sundown (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 10 November 1957 (USA)
    
See more »
    
"
Curse of the Demon (1957) ,"
Country:
UK
","
Language:
English
","
Release Date: 30 March 1958 (USA)
    
See more »
    
"
The Story of Mankind (1957) ,"
Country:
USA
","
Language:
Spanish
|
English
","
Release Date: 8 November 1957 (USA)
    
See more »
    
"
The Snow Queen (1957) ,"
Country:
Soviet Union
","
Language:
Russian
|
English
","
Release Date: 1 November 1957 (Soviet Union)
    
See more »
    
"
Paths of Glory (1957) ,"
Country:
USA
","
Language:
English
|
German
|
Latin
","
Release Date: 25 December 1957 (USA)
    
See more »
    
"
Pal Joey (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 16 December 1957 (Brazil)
    
See more »
    
"
Mother India (1957) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 25 October 1957 (India)
    
See more »
    
"
The Tin Star (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 6 November 1957 (USA)
    
See more »
    
"
The Invisible Boy (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 18 October 1957 (USA)
    
See more »
    
"
Jailhouse Rock (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 8 November 1957 (USA)
    
See more »
    
"
The Cranes Are Flying (1957) ,"
Country:
Soviet Union
","
Language:
Russian
","
Release Date: 21 March 1960 (USA)
    
See more »
    
"
The Black Scorpion (1957) ,"
Country:
Mexico
|
USA
","
Language:
English
|
Spanish
","
Release Date: 11 October 1957 (USA)
    
See more »
    
"
Until They Sail (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 14 November 1957 (Australia)
    
See more »
    
"
Raintree County (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 20 December 1957 (USA)
    
See more »
    
"
The Amazing Colossal Man (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 10 March 1958 (Sweden)
    
See more »
    
"
Nine Lives (1957) ,"
Country:
Norway
","
Language:
Norwegian
","
Release Date: 3 October 1957 (Norway)
    
See more »
    
"
Les Girls (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 26 December 1957 (Sweden)
    
See more »
    
"
The Bridge on the River Kwai (1957) ,"
Country:
UK
|
USA
","
Language:
English
|
Japanese
|
Thai
","
Release Date: 14 December 1957 (USA)
    
See more »
    
"
The Brain from Planet Arous (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 1 October 1957 (USA)
    
See more »
    
"
Forty Guns (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: September 1957 (USA)
    
See more »
    
"
The Joker Is Wild (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: October 1957 (USA)
    
See more »
    
"
Jet Pilot (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 1 October 1957 (USA)
    
See more »
    
"
The Devil Strikes at Night (1957) ,"
Country:
West Germany
","
Language:
German
","
Release Date: 19 September 1957 (West Germany)
    
See more »
    
"
The Three Faces of Eve (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 18 September 1957 (USA)
    
See more »
    
"
The Lower Depths (1957) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 1 October 1957 (Japan)
    
See more »
    
"
A King in New York (1957) ,"
Country:
UK
","
Language:
English
","
Release Date: 23 September 1957 (Sweden)
    
See more »
    
"
Le Notti Bianche (1957) ,"
Country:
Italy
|
France
","
Language:
Italian
","
Release Date: 28 May 1961 (USA)
    
See more »
    
"
The Pajama Game (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 10 December 1957 (Portugal)
    
See more »
    
"
Bitter Victory (1957) ,"
Country:
France
|
USA
","
Language:
English
|
German
|
Arabic
","
Release Date: March 1958 (USA)
    
See more »
    
"
From Hell It Came (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 25 August 1957 (USA)
    
See more »
    
"
The Sun Also Rises (1957) ,"
Country:
USA
","
Language:
English
|
Spanish
|
French
","
Release Date: 23 August 1957 (USA)
    
See more »
    
"
Dobrý voják Svejk (1957) ,"
Country:
Czechoslovakia
","
Language:
Czech
","
Release Date: 23 August 1957 (Czechoslovakia)
    
See more »
    
"
The Land Unknown (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 30 October 1957 (USA)
    
See more »
    
"
Fjols til fjells (1957) ,"
Country:
Norway
","
Language:
Norwegian
","
Release Date: 19 August 1957 (Norway)
    
See more »
    
"
Naya Daur (1957) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 15 August 1957 (India)
    
See more »
    
"
Man of a Thousand Faces (1957) ,"
Country:
USA
","
Language:
English
|
American Sign Language
|
Chinese
","
Release Date: 19 November 1957 (West Germany)
    
See more »
    
"
The Abominable Snowman (1957) ,"
Country:
UK
","
Language:
English
","
Release Date: October 1957 (USA)
    
See more »
    
"
3:10 to Yuma (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 7 August 1957 (USA)
    
See more »
    
"
Band of Angels (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 3 August 1957 (USA)
    
See more »
    
"
The 27th Day (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: July 1957 (USA)
    
See more »
    
"
Will Success Spoil Rock Hunter? (1957) ,"
Country:
USA
","
Language:
English
|
French
","
Release Date: August 1957 (USA)
    
See more »
    
"
Run of the Arrow (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 5 September 1957 (USA)
    
See more »
    
"
Hell Drivers (1957) ,"
Country:
UK
","
Language:
English
","
Release Date: 26 July 1957 (UK)
    
See more »
    
"
Night Passage (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 26 August 1957 (Sweden)
    
See more »
    
"
A Hatful of Rain (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 9 September 1957 (Sweden)
    
See more »
    
"
Il Grido (1957) ,"
Country:
Italy
|
USA
","
Language:
Italian
","
Release Date: 9 October 1958 (Portugal)
    
See more »
    
"
Bakumatsu taiyôden (1957) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 14 July 1957 (Japan)
    
See more »
    
"
The Flying Carpet (1957) ,"
Country:
Soviet Union
","
Language:
Russian
","
Release Date: 27 February 1960 (USA)
    
See more »
    
"
An Affair to Remember (1957) ,"
Country:
USA
","
Language:
English
|
French
|
Italian
","
Release Date: 19 July 1957 (USA)
    
See more »
    
"
The Pride and the Passion (1957) ,"
Country:
USA
","
Language:
English
|
Spanish
|
French
","
Release Date: 10 July 1957 (USA)
    
See more »
    
"
Loving You (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 9 July 1957 (USA)
    
See more »
    
"
The Monster That Challenged the World (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: June 1957 (USA)
    
See more »
    
"
The Giant Claw (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: June 1957 (USA)
    
See more »
    
"
20 Million Miles to Earth (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: June 1957 (USA)
    
See more »
    
"
The Burglar (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: June 1957 (USA)
    
See more »
    
"
The Unearthly (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 28 June 1957 (USA)
    
See more »
    
"
Silk Stockings (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 18 July 1957 (USA)
    
See more »
    
"
Beginning of the End (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 28 June 1957 (USA)
    
See more »
    
"
Sweet Smell of Success (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 4 July 1957 (USA)
    
See more »
    
"
Johnny Tremain (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 19 June 1957 (USA)
    
See more »
    
"
Invasion of the Saucer Men (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 19 June 1957 (USA)
    
See more »
    
"
I Was a Teenage Werewolf (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 19 June 1957 (USA)
    
See more »
    
"
The Prince and the Showgirl (1957) ,"
Country:
UK
|
USA
","
Language:
English
|
German
|
French
","
Release Date: 13 June 1957 (USA)
    
See more »
    
"
Paradise Lagoon (1957) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 16 December 1957 (USA)
    
See more »
    
"
Tammy and the Bachelor (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 23 August 1957 (Finland)
    
See more »
    
"
Fire Down Below (1957) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 14 June 1957 (Japan)
    
See more »
    
"
Love in the Afternoon (1957) ,"
Country:
USA
","
Language:
English
|
French
","
Release Date: 30 June 1957 (USA)
    
See more »
    
"
Gunfight at the O.K. Corral (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 30 May 1957 (USA)
    
See more »
    
"
A Face in the Crowd (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 1 June 1957 (USA)
    
See more »
    
"
The Delicate Delinquent (1957) ,"
Country:
USA
","
Language:
English
|
Japanese
","
Release Date: 6 February 1958 (West Germany)
    
See more »
    
"
Designing Woman (1957) ,"
Country:
USA
","
Language:
English
|
Italian
","
Release Date: 16 May 1957 (Australia)
    
See more »
    
"
Desk Set (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 2 August 1957 (West Germany)
    
See more »
    
"
Nights of Cabiria (1957) ,"
Country:
Italy
|
France
","
Language:
Italian
","
Release Date: 16 October 1957 (France)
    
See more »
    
"
Quatermass 2 (1957) ,"
Country:
UK
|
Japan
","
Language:
English
","
Release Date: September 1957 (USA)
    
See more »
    
"
Saint Joan (1957) ,"
Country:
USA
|
UK
","
Language:
English
","
Release Date: 8 May 1957 (USA)
    
See more »
    
"
The Curse of Frankenstein (1957) ,"
Country:
UK
","
Language:
English
","
Release Date: 25 June 1957 (USA)
    
See more »
    
"
The Deadly Mantis (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 26 May 1957 (USA)
    
See more »
    
"
Tokyo Twilight (1957) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 19 July 1972 (USA)
    
See more »
    
"
Kronos (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: April 1957 (USA)
    
See more »
    
"
All Mine to Give (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: January 1958 (USA)
    
See more »
    
"
The Spirit of St. Louis (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 20 April 1957 (USA)
    
See more »
    
"
Kanal (1957) ,"
Country:
Poland
","
Language:
Polish
|
German
","
Release Date: 20 April 1957 (Poland)
    
See more »
    
"
Boy on a Dolphin (1957) ,"
Country:
USA
","
Language:
English
|
Greek
","
Release Date: 19 April 1957 (West Germany)
    
See more »
    
"
12 Angry Men (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 10 April 1957 (USA)
    
See more »
    
"
Big Time Operators (1957) ,"
Country:
UK
","
Language:
English
","
Release Date: 31 October 1960 (Sweden)
    
See more »
    
"
Lust of the Vampire (1957) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 1963 (USA)
    
See more »
    
"
The Guns of Fort Petticoat (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: April 1957 (USA)
    
See more »
    
"
The Tall T (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 2 April 1957 (USA)
    
See more »
    
"
Funny Face (1957) ,"
Country:
USA
","
Language:
English
|
French
","
Release Date: 25 April 1957 (UK)
    
See more »
    
"
Maya Bazaar (1957) ,"
Country:
India
","
Language:
Telugu
|
Tamil
","
Release Date: 27 March 1957 (India)
    
See more »
    
"
Time Without Pity (1957) ,"
Country:
UK
","
Language:
English
","
Release Date: 22 November 1957 (USA)
    
See more »
    
"
Fear Strikes Out (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 10 July 1957 (South Africa)
    
See more »
    
"
Plan 9 from Outer Space (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 22 July 1959 (USA)
    
See more »
    
"
